MAG ID	N50 length	Depth	Completeness	group	group2
XZ1.bin118	169981	25.92	81.73	80	>80
SX1.bin010	169329	22.85	73.08	70	>70
AH4.bin034	169280	34.07	95.3	90	>90
XZ5.bin098	168843	28.44	84.15	80	>80
SD3.bin144	168766	83.52	89.61	80	>80
AH3.bin167	168658	17.08	78.97	70	>70
SD3.bin127	168350	181.41	88.7	80	>80
XZ1.bin128	168301	34.31	94.8	90	>90
JL4.bin119	168143	291.49	95.51	90	>90
SX3.bin093	167328	76.68	82.55	80	>80
JL3.bin087	167318	27.99	99.73	90	>90
SD5.bin091	166807	27.44	89.26	80	>80
SD2.bin005	166591	34.91	78.65	70	>70
GX5.bin043	166152	69.54	86.9	80	>80
SX4.bin092	166020	23.11	75.47	70	>70
SX2.bin063	165849	27.53	91.35	90	>90
SD3.bin004	165532	29.53	91.13	90	>90
SD1.bin171	165309	258.75	79.56	70	>70
SD3.bin120	164390	164.87	93.55	90	>90
SD4.bin105	164387	26.24	95.27	90	>90
AH1.bin155	164239	250.07	76	70	>70
SX5.bin079	164145	37.91	92.45	90	>90
SX2.bin166	164116	48.28	95.91	90	>90
JL4.bin115	163870	34.41	94.62	90	>90
AH4.bin050	162753	124.61	72.41	70	>70
XZ1.bin112	162573	128.69	95.99	90	>90
JL1.bin050	162466	21.97	92.07	90	>90
XZ2.bin116	162019	31.25	100	90	>90
XZ1.bin082	162002	207.67	91.72	90	>90
SD3.bin201	161940	24.65	82.97	80	>80
AH3.bin130	161319	36.9	97.05	90	>90
XZ2.bin149	161305	66.03	94.84	90	>90
JL4.bin152	160556	581.2	93.29	90	>90
SD1.bin008	160410	62.38	96.88	90	>90
AH2.bin118	160300	33.14	95.08	90	>90
AH4.bin043	159982	61.44	93.82	90	>90
SX1.bin060	159980	24.66	89.52	80	>80
SX2.bin137	159343	89.99	92.56	90	>90
SD3.bin136	159286	38.38	100	90	>90
XZ5.bin145	159041	25.53	100	90	>90
SX2.bin009	158625	173.9	87.62	80	>80
GX1.bin089	158441	22.47	89.6	80	>80
GX4.bin111	158310	66.73	94.71	90	>90
AH5.bin137	158201	73.82	98.43	90	>90
AH2.bin129	157899	23.24	97.32	90	>90
SD4.bin170	157332	38.26	94.02	90	>90
AH4.bin175	156981	26.57	94.16	90	>90
AH5.bin136	156949	47.26	86.57	80	>80
JL4.bin008	156448	2602.49	83.86	80	>80
XZ1.bin014	156422	27.17	83.68	80	>80
JL5.bin159	156118	21.99	89.89	80	>80
GX3.bin108	156002	95.68	89.08	80	>80
XZ1.bin159	155998	132.4	94.89	90	>90
JL5.bin134	155831	315.36	81.03	80	>80
AH5.bin096	155723	31.93	99.42	90	>90
AH2.bin045	155673	160.4	97.12	90	>90
JL4.bin051	155056	27.13	90.16	90	>90
SX1.bin080	154827	76.59	88.57	80	>80
AH2.bin093	154660	23.88	95.41	90	>90
AH1.bin156	154643	42.62	95.08	90	>90
SX3.bin052	154536	34.67	77.82	70	>70
AH4.bin021	153994	51.49	93.47	90	>90
JL4.bin133	152868	25.99	98.46	90	>90
SX2.bin134	152384	28.97	80.34	80	>80
SX4.bin063	152071	25.14	96.63	90	>90
AH5.bin166	151933	33.82	96.5	90	>90
XZ1.bin090	151760	38.62	92	90	>90
AH4.bin095	151655	50.36	86.29	80	>80
GX3.bin112	150969	92.59	93.49	90	>90
SX1.bin068	150838	167.56	95.35	90	>90
JL4.bin155	150718	43.05	95.09	90	>90
XZ1.bin166	150434	272.23	88.87	80	>80
JL3.bin034	150382	61.71	93.55	90	>90
SD5.bin041	150115	20.4	71.63	70	>70
SX1.bin048	150008	57.4	83.33	80	>80
SD4.bin095	149558	21.2	81.74	80	>80
AH5.bin157	149156	27.56	87.64	80	>80
SX4.bin119	149112	26.7	91.94	90	>90
SD4.bin096	149105	111.56	96.82	90	>90
AH2.bin123	148962	33.75	79.3	70	>70
XZ5.bin120	148960	60.56	89.92	80	>80
JL4.bin027	148825	49.32	92.74	90	>90
AH4.bin159	148395	349.92	87.91	80	>80
XZ1.bin069	148391	457.04	81.03	80	>80
XZ5.bin110	148371	22.54	73.39	70	>70
SX2.bin109	148246	36.17	89.44	80	>80
GX4.bin074	148166	28.99	87.24	80	>80
SD1.bin039	148165	19.63	90.27	90	>90
AH4.bin164	148130	45.21	85.66	80	>80
XZ4.bin172	147551	73.82	76.62	70	>70
XZ4.bin020	147494	21.58	86.56	80	>80
GX4.bin084	147439	30.48	87.02	80	>80
XZ4.bin056	147295	82.83	91.85	90	>90
SD5.bin143	147131	44.44	93.73	90	>90
GX1.bin070	147125	69.87	92.01	90	>90
AH3.bin009	147038	64.12	96.63	90	>90
SX2.bin031	146761	28.08	96.39	90	>90
JL3.bin108	146750	180.07	87.2	80	>80
SD2.bin072	146676	35.85	93.92	90	>90
AH5.bin065	146452	23.57	91.61	90	>90
JL5.bin110	146101	271.3	97.85	90	>90
GX1.bin033	145049	83.41	90.48	90	>90
AH2.bin069	145019	43.19	98.49	90	>90
SD1.bin058	144919	22.72	97.54	90	>90
GX3.bin090	144881	246.8	98.3	90	>90
SD2.bin168	144793	161.99	96.63	90	>90
GX1.bin153	144696	79.28	82.77	80	>80
JL2.bin010	144666	287.23	75.34	70	>70
AH4.bin031	144623	28.74	96.55	90	>90
SD3.bin183	143729	21.6	71.94	70	>70
AH2.bin172	143322	50.84	96.39	90	>90
XZ1.bin155	143111	23.17	93.37	90	>90
XZ4.bin171	143038	45.3	96.63	90	>90
AH3.bin049	142915	36.49	96.64	90	>90
AH5.bin069	142733	23.15	93.55	90	>90
AH5.bin027	142487	41.28	75.62	70	>70
SD3.bin139	142279	83.25	92.7	90	>90
SD3.bin162	142222	60.64	91.86	90	>90
XZ1.bin091	142106	79.34	96.53	90	>90
SX2.bin165	141899	50.47	94.77	90	>90
GX4.bin069	141478	59.79	91.91	90	>90
JL2.bin149	141043	40.22	70.96	70	>70
XZ4.bin102	140623	45.32	70.69	70	>70
AH3.bin020	140198	83.08	90.02	90	>90
JL2.bin031	140077	24.39	96.36	90	>90
AH4.bin129	140015	16.98	93.96	90	>90
SX2.bin024	139977	37.4	78.97	70	>70
AH5.bin047	139939	38.52	79.75	70	>70
SD5.bin070	139910	49.99	94.31	90	>90
SD2.bin138	139888	30.33	86.34	80	>80
GX5.bin138	139548	206.38	92.34	90	>90
SX1.bin109	139149	80.86	90.59	90	>90
AH3.bin012	138739	26.5	87.9	80	>80
GX2.bin002	138660	57.62	81.82	80	>80
XZ5.bin119	138590	63.62	71.08	70	>70
SD5.bin158	138589	38.61	73.21	70	>70
XZ4.bin006	138553	28.24	98.21	90	>90
SD3.bin040	138463	99.56	80.94	80	>80
SX2.bin164	138451	19.37	75.41	70	>70
AH5.bin132	138363	29.02	96.63	90	>90
AH2.bin064	138325	39.54	96.63	90	>90
JL1.bin135	138315	25.74	80.24	80	>80
AH4.bin179	138313	486.08	90.31	90	>90
XZ3.bin083	138289	26.35	98.1	90	>90
SD4.bin177	138283	64.33	93.81	90	>90
GX3.bin169	138012	27.02	82.5	80	>80
SD5.bin003	137968	28.84	82.78	80	>80
SX3.bin135	137871	37.38	98.78	90	>90
GX2.bin164	137718	29.51	97.36	90	>90
SD4.bin069	137710	73.24	94.58	90	>90
GX1.bin132	137620	54.05	97.99	90	>90
SX5.bin021	137526	25.59	87.15	80	>80
AH1.bin174	137197	28.11	70.82	70	>70
JL4.bin060	137181	17.89	93.01	90	>90
GX4.bin003	136832	42.19	94.63	90	>90
XZ4.bin153	136818	89.45	98.56	90	>90
AH4.bin109	136597	43	94.23	90	>90
JL1.bin082	136395	55.81	90.69	90	>90
SD2.bin054	136317	56.88	90.29	90	>90
AH2.bin105	136249	36.31	93.29	90	>90
AH2.bin059	136099	71.37	97.6	90	>90
AH5.bin164	135848	36.26	80.48	80	>80
GX1.bin163	135784	95.95	85.71	80	>80
SD2.bin064	135473	48.23	81.21	80	>80
AH2.bin136	135401	225.16	98.08	90	>90
SD2.bin135	135234	180.27	97.2	90	>90
JL1.bin143	135223	24.38	94.91	90	>90
SD3.bin070	135183	72.17	96.85	90	>90
SX2.bin046	135145	40.62	97.38	90	>90
XZ5.bin078	134945	27.75	83.22	80	>80
SX1.bin087	134917	43.34	77.45	70	>70
SD1.bin123	134785	32.83	76.14	70	>70
SX3.bin046	134498	66.86	96.88	90	>90
XZ2.bin100	134249	87.87	96.15	90	>90
XZ1.bin057	134152	53.23	78.05	70	>70
JL4.bin106	134066	145.04	93.82	90	>90
SX2.bin038	133920	27.95	93.01	90	>90
GX3.bin145	133884	19.97	98.66	90	>90
GX2.bin167	133798	46.9	89.25	80	>80
AH3.bin181	133766	35.39	93.24	90	>90
XZ5.bin057	133673	26.55	97.34	90	>90
XZ4.bin121	133638	67.84	80.96	80	>80
SD5.bin013	133612	424.14	97.7	90	>90
JL5.bin054	133581	48.91	96.94	90	>90
JL5.bin001	133443	26.03	86.21	80	>80
AH5.bin016	133434	189.51	87.36	80	>80
JL3.bin017	132840	31.25	84.52	80	>80
JL5.bin113	132816	66.28	93.49	90	>90
AH5.bin041	132765	47.97	97.21	90	>90
JL2.bin112	132751	29.75	97.85	90	>90
XZ4.bin170	132668	28.14	93.03	90	>90
SX2.bin135	132212	29.03	99.42	90	>90
SX4.bin066	132036	61.85	72.24	70	>70
AH2.bin029	131864	103.24	97.47	90	>90
JL5.bin022	131799	183.95	95.87	90	>90
SD5.bin096	131273	568.4	77.48	70	>70
JL2.bin082	130846	61.54	71.32	70	>70
AH1.bin001	130831	34.69	77.87	70	>70
SX1.bin041	130683	41.95	77.83	70	>70
AH2.bin030	130594	228.21	85	80	>80
SX5.bin063	130530	34.31	96.4	90	>90
AH1.bin139	130456	66.84	70.25	70	>70
SD3.bin088	130334	20.26	77.02	70	>70
JL5.bin078	130268	34.2	94.18	90	>90
SD3.bin192	130236	68.3	86.29	80	>80
GX5.bin085	130195	36.16	95.58	90	>90
JL5.bin123	130094	25.47	100	90	>90
JL3.bin055	129416	78.9	98.95	90	>90
GX1.bin037	129279	193.77	74.34	70	>70
XZ3.bin128	129075	31.41	87.84	80	>80
GX3.bin129	129064	73.41	98.25	90	>90
GX1.bin036	128811	65.89	98.95	90	>90
XZ4.bin141	128559	57.43	91.61	90	>90
GX4.bin004	128477	84.73	93.48	90	>90
SD1.bin194	128343	32.52	94.05	90	>90
JL1.bin124	128096	79.38	86.51	80	>80
AH5.bin134	127821	27.29	88.58	80	>80
SD2.bin112	127497	37.77	91.76	90	>90
SD2.bin065	127302	43.23	71.63	70	>70
SD1.bin115	126861	25.07	85.72	80	>80
SD2.bin175	126786	32.84	91.33	90	>90
AH5.bin173	126774	22.54	96.56	90	>90
XZ4.bin037	126666	165.61	97.3	90	>90
AH5.bin098	126592	46.4	90.21	90	>90
AH4.bin003	126390	20.38	83.87	80	>80
SD5.bin110	126366	65.92	95.73	90	>90
SD5.bin133	126153	19.34	94.74	90	>90
SD3.bin119	126037	70.27	95.97	90	>90
SD2.bin031	125935	129.48	87	80	>80
JL1.bin081	125844	123.36	90.98	90	>90
SX5.bin028	125841	26.54	93.24	90	>90
SD1.bin116	125654	21.11	92.74	90	>90
JL1.bin101	125419	32.38	91.95	90	>90
GX4.bin109	125389	43.4	89.82	80	>80
SX5.bin073	125294	36.19	95.67	90	>90
XZ1.bin021	125276	208.85	71.48	70	>70
SD2.bin169	125190	47.62	91.57	90	>90
AH1.bin060	125183	108.84	98.66	90	>90
SX5.bin030	125162	25.08	80.34	80	>80
SD5.bin026	124943	22.78	95.67	90	>90
XZ1.bin008	124751	23.85	96.29	90	>90
GX1.bin160	124689	22.66	91.35	90	>90
JL2.bin006	124672	103.43	92.38	90	>90
SD5.bin155	124541	226.31	87.48	80	>80
SX3.bin108	124383	29.75	73.38	70	>70
AH5.bin032	124244	29.37	75.27	70	>70
SX5.bin118	124181	188.81	75.57	70	>70
GX2.bin079	124155	210.23	92.83	90	>90
GX1.bin173	123963	21.98	96.17	90	>90
SX5.bin094	123868	107.93	92.24	90	>90
JL4.bin067	123496	28.86	73.02	70	>70
SD1.bin048	123419	24.35	95.08	90	>90
AH3.bin195	123314	219.87	92.9	90	>90
XZ1.bin098	123297	21.92	96.14	90	>90
SD5.bin122	123177	317.06	94.05	90	>90
AH1.bin124	123111	57.2	93.68	90	>90
SD1.bin024	123085	26.51	86.59	80	>80
AH1.bin093	122972	83.26	97.6	90	>90
AH5.bin077	122854	37.74	100	90	>90
XZ1.bin119	122795	23.32	98.58	90	>90
SX2.bin062	122679	34.22	95.25	90	>90
XZ3.bin011	122656	118.75	95.08	90	>90
SX4.bin018	122520	45.81	75.21	70	>70
SD2.bin029	122218	109.37	95.64	90	>90
AH2.bin038	122207	133.73	96.06	90	>90
GX2.bin172	122172	59.14	92.45	90	>90
GX3.bin009	122067	29.07	76.12	70	>70
XZ3.bin109	121960	29.44	90.6	90	>90
XZ2.bin017	121869	25.13	82.55	80	>80
AH1.bin145	121855	31.73	95.97	90	>90
JL1.bin084	121579	26.12	92.57	90	>90
SD1.bin075	121560	157.14	98.11	90	>90
GX3.bin160	121321	20.78	83.97	80	>80
JL2.bin009	121309	24.12	96.64	90	>90
SX2.bin099	121301	22.89	79.6	70	>70
GX4.bin002	121291	21.79	73.36	70	>70
SX5.bin062	121111	92.59	84.62	80	>80
GX5.bin025	121092	222.29	99.52	90	>90
XZ4.bin160	121031	31.81	77.52	70	>70
AH4.bin067	120986	31.16	87.17	80	>80
AH2.bin130	120902	24.35	100	90	>90
AH2.bin076	120830	29.95	95.43	90	>90
AH5.bin144	120735	90.01	87.74	80	>80
AH5.bin142	120674	59.17	75.39	70	>70
AH1.bin053	120646	30.45	81.21	80	>80
JL4.bin001	120563	1082.89	72.2	70	>70
XZ1.bin037	120553	96.02	70.13	70	>70
SD2.bin076	120349	49.12	90.31	90	>90
SD4.bin133	120291	189.43	97.04	90	>90
AH4.bin160	120262	23.82	81.88	80	>80
GX5.bin037	120229	40.23	87.33	80	>80
JL2.bin017	120146	25.54	92.62	90	>90
GX1.bin009	120123	62.52	88.2	80	>80
XZ3.bin008	120110	17.7	98.66	90	>90
AH4.bin145	119961	38.05	85.08	80	>80
AH4.bin196	119849	47.6	87.08	80	>80
XZ1.bin100	119820	52.18	92.87	90	>90
GX3.bin040	119749	30.14	92.06	90	>90
SD2.bin099	119611	190.17	78.36	70	>70
JL1.bin148	119510	47.99	86.91	80	>80
JL2.bin084	119398	81.14	82.3	80	>80
GX2.bin171	119397	22.15	98.43	90	>90
XZ2.bin032	119316	29.86	97.32	90	>90
GX2.bin060	119248	46.61	96.94	90	>90
XZ5.bin055	119089	37.69	93.29	90	>90
GX2.bin055	119040	30.69	96.26	90	>90
AH1.bin020	119035	18.55	71.14	70	>70
AH5.bin054	118937	29.07	100	90	>90
XZ3.bin035	118768	33.71	94.63	90	>90
JL1.bin110	118678	62.32	77.3	70	>70
XZ3.bin020	118522	33.25	93.74	90	>90
AH5.bin140	117952	49.12	98.21	90	>90
SD1.bin035	117929	58.97	94.91	90	>90
SD5.bin092	117870	54.36	90.59	90	>90
SD4.bin159	117811	37.43	94.72	90	>90
SD5.bin119	117796	51.05	90.83	90	>90
SX2.bin013	117788	31.29	95.7	90	>90
XZ2.bin098	117768	27.95	98.1	90	>90
SX1.bin084	117753	75.38	94.63	90	>90
AH2.bin033	117647	57.72	81.97	80	>80
JL2.bin177	117634	367.77	72.08	70	>70
AH1.bin136	117628	35.55	79.05	70	>70
SX4.bin069	117604	38.77	93.26	90	>90
AH2.bin198	117529	27.62	75.8	70	>70
SD2.bin182	117490	233.89	97.12	90	>90
XZ5.bin109	117358	19.32	95.08	90	>90
SD2.bin132	117123	26.06	98.43	90	>90
SD1.bin167	117051	36.06	90.74	90	>90
SD1.bin028	117016	43.09	90.91	90	>90
SD5.bin038	116851	28.61	93.4	90	>90
XZ4.bin014	116784	74.21	90.15	90	>90
JL1.bin030	116773	28.52	85.68	80	>80
XZ1.bin030	116706	19.68	89.28	80	>80
JL3.bin079	116664	36.49	97.33	90	>90
JL1.bin001	116522	36.02	97.2	90	>90
GX4.bin031	116404	72.4	84.62	80	>80
AH5.bin022	116373	150.25	91.05	90	>90
JL4.bin070	116322	33.22	77.39	70	>70
XZ1.bin107	116156	24.78	77.01	70	>70
XZ4.bin117	116106	117.14	91.83	90	>90
AH1.bin163	115940	126.93	92.62	90	>90
JL2.bin072	115675	290.85	72.18	70	>70
AH1.bin119	115612	36.99	93.74	90	>90
JL5.bin041	115551	25.24	87.75	80	>80
SX5.bin035	115436	31.34	97.99	90	>90
XZ2.bin021	115395	20.74	83.77	80	>80
JL2.bin170	115378	61.08	96.5	90	>90
SD2.bin078	115299	41.84	89.87	80	>80
SX2.bin138	115217	20.47	86.78	80	>80
SD2.bin032	115080	27.07	96.88	90	>90
GX2.bin019	114922	418.72	93.92	90	>90
AH2.bin075	114851	37.85	91.06	90	>90
SD3.bin036	114851	114.78	84.34	80	>80
SX5.bin117	114763	164.06	78.23	70	>70
SD1.bin176	114657	75.93	87.93	80	>80
SD3.bin057	114443	35.04	77.59	70	>70
AH1.bin029	114413	98.57	95.55	90	>90
AH1.bin169	114189	175.9	96.15	90	>90
SD3.bin027	114170	28.42	95.7	90	>90
SD2.bin085	114079	49.45	83.43	80	>80
SD2.bin130	114031	23.26	79.97	70	>70
AH3.bin045	114025	31.4	99.24	90	>90
SD2.bin104	113997	46.19	70.43	70	>70
XZ2.bin011	113986	37.75	95.68	90	>90
AH4.bin162	113877	30	73.1	70	>70
JL4.bin142	113813	29.59	93.67	90	>90
XZ5.bin011	113581	55.01	85.53	80	>80
AH2.bin011	113518	35.31	86.83	80	>80
GX3.bin051	113362	19.59	77.68	70	>70
SX4.bin105	113269	467.59	94.77	90	>90
SX5.bin110	113269	652.93	95.81	90	>90
GX4.bin014	113105	30.75	98.39	90	>90
SX3.bin117	112976	53.83	93.95	90	>90
JL5.bin106	112857	26.31	97.32	90	>90
AH2.bin024	112491	38.14	79.58	70	>70
SD4.bin036	112198	20.21	95.08	90	>90
XZ4.bin120	112177	279.69	73.77	70	>70
SD3.bin031	112166	145.1	93.57	90	>90
SX5.bin069	112039	20.49	70.63	70	>70
SX2.bin026	111701	43.55	84.86	80	>80
GX4.bin082	111411	39.64	96.77	90	>90
JL2.bin122	111251	125.55	76.81	70	>70
JL5.bin043	111145	45.67	83.74	80	>80
